gen,lokalizacja,w_jadrze,otoczka,tylko_jadro,tez_poza,dopasowanie,uniprot_gen,n_komorek_wykryty,pct_komorek,srednia_cp10k_all,mean_Aldoc_plus,mean_Aldoc_minus,log2FC_plus_vs_minus,marker_dla,marker_logFC,marker_padj,marker_score,mean_Aldoc_1,mean_Aldoc_2,mean_Aldoc_3,mean_Aldoc_4,mean_Aldoc_5,mean_Aldoc_6,mean_Aldoc_7,mean_Anti_Aldoc_1,mean_Anti_Aldoc_2,pct_Aldoc_1,pct_Aldoc_2,pct_Aldoc_3,pct_Aldoc_4,pct_Aldoc_5,pct_Aldoc_6,pct_Aldoc_7,pct_Anti_Aldoc_1,pct_Anti_Aldoc_2,loc_txt,loc_pelny,topologia
Tmem18,otoczka,True,True,False,True,nazwa,Tmem18,1846,11.1,0.045,0.049,0.044,0.128,,,,,0.041,0.081,0.044,0.045,0.041,0.055,0.035,0.036,0.051,8.2,25.33,11.97,11.43,9.34,14.02,7.54,7.0,12.74,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q96B42}. Nucleus membrane {ECO:0000250|UniProtKB:Q96B42}; Multi-pass membrane protein {ECO:0000255}.,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q96B42}. Nucleus membrane {ECO:0000250|UniProtKB:Q96B42}; Multi-pass membrane protein {ECO:0000255}.,NIEOKRESLONY
Syne2,otoczka,True,True,False,True,nazwa,Syne2,14814,89.06,1.197,1.24,1.08,0.198,,,,,1.434,1.306,1.402,1.186,1.184,1.148,1.018,1.051,1.109,88.26,96.0,94.3,89.07,86.77,90.06,79.23,82.47,89.97,"SUBCELLULAR LOCATION: Nucleus outer membrane; Single-pass type IV membrane protein; Cytoplasmic side. Sarcoplasmic reticulum membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Cell membrane; Single-pass membrane protein. Cytoplasm, cytoskeleton. Mitochondrion {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000250}. Note=Different isoform patterns are found in the different compa","SUBCELLULAR LOCATION: Nucleus outer membrane; Single-pass type IV membrane protein; Cytoplasmic side. Sarcoplasmic reticulum membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Cell membrane; Single-pass membrane protein. Cytoplasm, cytoskeleton. Mitochondrion {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000250}. Note=Different isoform patterns are found in the different compartments of the cell. The isoforms having the C-terminal transmembrane span can be found in several organellar membranes like the nuclear envelope, the sarcoplasmic reticulum of myoblasts, or the lamellipodia and focal adhesions at the cell membrane. The largest part of the outer nuclear membrane-associated protein is cytoplasmic, while its C-terminal part is associated with the nuclear envelope, most probably the outer nuclear membrane. Remains associated with the nuclear envelope during its breakdown in mitotic cells. Shorter soluble isoforms can be found in the cytoplasm and within the nucleus (By similarity). {ECO:0000250}.",ONM_dostepny
Ifi27,otoczka,True,True,True,False,synonim,Ifi27l2a,543,3.26,0.014,0.013,0.012,0.064,,,,,0.018,0.007,0.015,0.015,0.017,0.011,0.009,0.009,0.015,3.38,2.67,3.3,3.77,3.26,2.8,2.21,2.08,3.92,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000305|PubMed:22427340}; Multi-pass membrane protein {ECO:0000255}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000305|PubMed:22427340}; Multi-pass membrane protein {ECO:0000255}.,INM_niedostepny
Ifi27l2a,otoczka,True,True,True,False,nazwa,Ifi27l2a,36,0.22,0.001,0.001,0.0,0.138,,,,,0.001,0.004,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.32,1.33,0.17,0.33,0.09,0.25,0.37,0.05,0.29,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000305|PubMed:22427340}; Multi-pass membrane protein {ECO:0000255}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000305|PubMed:22427340}; Multi-pass membrane protein {ECO:0000255}.,INM_niedostepny
Syne3,otoczka,True,True,False,True,nazwa,Syne3,787,4.73,0.022,0.02,0.018,0.1,,,,,0.019,0.014,0.025,0.027,0.028,0.016,0.012,0.016,0.02,2.57,4.0,5.42,5.72,5.41,4.33,2.57,3.24,4.86,SUBCELLULAR LOCATION: Nucleus outer membrane; Single-pass type IV membrane protein. Nucleus envelope. Rough endoplasmic reticulum.,SUBCELLULAR LOCATION: Nucleus outer membrane; Single-pass type IV membrane protein. Nucleus envelope. Rough endoplasmic reticulum.,ONM_dostepny
Mta1,otoczka,True,True,False,True,nazwa,Mta1,3598,21.63,0.098,0.102,0.095,0.093,,,,,0.116,0.091,0.101,0.1,0.096,0.095,0.114,0.096,0.093,21.54,26.67,23.43,23.42,20.73,22.94,18.38,17.72,21.59,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11483358, ECO:0000269|PubMed:20682799, ECO:0000269|PubMed:24970816}. Nucleus envelope {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624}. Cytoplasm {ECO:0000269|PubMed:15077195, ECO:0000269|PubMed:20682799, ECO:0000269|PubMed:24970816}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q13330}. Note=Associated with microtubul","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11483358, ECO:0000269|PubMed:20682799, ECO:0000269|PubMed:24970816}. Nucleus envelope {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624}. Cytoplasm {ECO:0000269|PubMed:15077195, ECO:0000269|PubMed:20682799, ECO:0000269|PubMed:24970816}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q13330}. Note=Associated with microtubules. Primarily localized in the cytoplasm in embryonic tissues (PubMed:24970816). Localization at the nuclear envelope is TPR-dependent (By similarity). {ECO:0000250|UniProtKB:Q13330, ECO:0000269|PubMed:24970816}.",NIEOKRESLONY
Nup155,otoczka,True,True,True,False,nazwa,Nup155,5244,31.53,0.157,0.156,0.157,-0.009,,,,,0.157,0.152,0.15,0.163,0.168,0.145,0.16,0.157,0.157,27.65,25.33,32.23,34.18,31.32,31.04,25.74,27.91,33.32,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P37199}. Nucleus membrane {ECO:0000250|UniProtKB:P37199}; Peripheral membrane protein {ECO:0000250|UniProtKB:P37199}; Cytoplasmic side {ECO:0000250|UniProtKB:P37199}. Nucleus membrane {ECO:0000250|UniProtKB:P37199}; Peripheral membrane protein {ECO:0000250|UniProtKB:P37199}; Nucleoplasmic side {ECO:0000250|UniProtKB:P37199}","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P37199}. Nucleus membrane {ECO:0000250|UniProtKB:P37199}; Peripheral membrane protein {ECO:0000250|UniProtKB:P37199}; Cytoplasmic side {ECO:0000250|UniProtKB:P37199}. Nucleus membrane {ECO:0000250|UniProtKB:P37199}; Peripheral membrane protein {ECO:0000250|UniProtKB:P37199}; Nucleoplasmic side {ECO:0000250|UniProtKB:P37199}. Note=In mitosis, assumes a diffuse cytoplasmic distribution probably as a monomer, before reversing back into a punctate nuclear surface localization at the end of mitosis. {ECO:0000250|UniProtKB:P37199}.",ONM+INM_mieszany
Fam105a,otoczka,True,True,False,True,synonim,Otulinl,1675,10.07,0.047,0.05,0.05,0.0,,,,,0.061,0.051,0.039,0.042,0.048,0.046,0.061,0.051,0.049,10.77,17.33,8.86,9.82,10.5,10.39,10.29,8.84,11.22,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9NUU6}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NUU6}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9NUU6}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NUU6}.,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9NUU6}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NUU6}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9NUU6}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NUU6}.,NIEOKRESLONY
Mtdh,otoczka,True,True,False,True,nazwa,Mtdh,14575,87.62,1.082,1.104,1.015,0.12,,,,,1.2,1.038,1.12,1.112,1.123,1.108,1.027,0.996,1.035,87.46,94.67,90.49,89.57,86.19,89.1,81.62,80.3,88.85,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Nucleus membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Cell junction, tight junction {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Note=In epithelial cells, recruited to tight junctions (TJ) during the maturation of the","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Nucleus membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Cell junction, tight junction {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Note=In epithelial cells, recruited to tight junctions (TJ) during the maturation of the TJ complexes. A nucleolar staining may be due to nuclear targeting of an isoform lacking the transmembrane domain. TNF causes translocation from the cytoplasm to the nucleus (By similarity). {ECO:0000250}.",NIEOKRESLONY
Sun2,otoczka,True,True,False,True,nazwa,Sun2,4406,26.49,0.129,0.133,0.128,0.051,,,,,0.134,0.121,0.121,0.114,0.13,0.148,0.161,0.124,0.132,23.63,26.67,27.34,25.47,24.4,31.1,27.21,21.25,28.53,"SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:19933576}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q9UH99}. Nucleus envelope {ECO:0000269|PubMed:17132086, ECO:0000269|PubMed:19843581, ECO:0000269|PubMed:19874786, ECO:0000269|PubMed:19933576}. Endosome membrane {ECO:0000250|UniProtKB:Q9UH99}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q9UH99}. N","SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:19933576}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q9UH99}. Nucleus envelope {ECO:0000269|PubMed:17132086, ECO:0000269|PubMed:19843581, ECO:0000269|PubMed:19874786, ECO:0000269|PubMed:19933576}. Endosome membrane {ECO:0000250|UniProtKB:Q9UH99}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q9UH99}. Note=Colocalizes with KASH5 at sites of telomere attachment in meiocytes. {ECO:0000269|PubMed:24586178}.",INM_niedostepny
Rangap1,otoczka,True,True,False,True,nazwa,Rangap1,7543,45.35,0.264,0.262,0.267,-0.026,,,,,0.229,0.309,0.251,0.275,0.303,0.239,0.23,0.272,0.262,37.14,54.67,46.83,47.39,48.88,43.72,33.64,39.11,47.61,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26506250, ECO:0000269|PubMed:9442102, ECO:0000269|PubMed:9456312}. Nucleus, nucleoplasm {ECO:0000269|PubMed:26506250}. Nucleus envelope {ECO:0000269|PubMed:16469311, ECO:0000269|PubMed:18305100, ECO:0000269|PubMed:26506250, ECO:0000269|PubMed:9442102, ECO:0000269|PubMed:9456312}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:P46060}.","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26506250, ECO:0000269|PubMed:9442102, ECO:0000269|PubMed:9456312}. Nucleus, nucleoplasm {ECO:0000269|PubMed:26506250}. Nucleus envelope {ECO:0000269|PubMed:16469311, ECO:0000269|PubMed:18305100, ECO:0000269|PubMed:26506250, ECO:0000269|PubMed:9442102, ECO:0000269|PubMed:9456312}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:P46060}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P46060}. Note=Cytoplasmic during interphase (PubMed:26506250). Detected at the nuclear envelope during interphase (PubMed:26506250, PubMed:9442102, PubMed:9456312). Shuttles between nucleus and cytoplasm (PubMed:26506250). Targeted to the nuclear pores after sumoylation. During mitosis, associates with mitotic spindles, but is essentially not detected at the spindle poles. Association with kinetochores appears soon after nuclear envelope breakdown and persists until late anaphase. Mitotic location also requires sumoylation (By similarity). {ECO:0000250|UniProtKB:P46060, ECO:0000269|PubMed:26506250, ECO:0000269|PubMed:9442102, ECO:0000269|PubMed:9456312}.",POR_niepewny
Nup50,otoczka,True,True,True,False,nazwa,Nup50,7397,44.47,0.251,0.248,0.254,-0.033,,,,,0.207,0.316,0.249,0.244,0.235,0.277,0.209,0.234,0.274,34.73,64.0,47.05,45.06,39.63,49.78,32.9,35.63,49.64,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex. Nucleus membrane {ECO:0000250|UniProtKB:O08587}; Peripheral membrane protein {ECO:0000250|UniProtKB:O08587}; Nucleoplasmic side {ECO:0000250|UniProtKB:O08587}. Note=Localizes to the nucleoplasmic fibrils of the nuclear pore complex. Dissociates from the NPC structure early during prophase of mitosis. Associates with the newly formed nuclear memb","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex. Nucleus membrane {ECO:0000250|UniProtKB:O08587}; Peripheral membrane protein {ECO:0000250|UniProtKB:O08587}; Nucleoplasmic side {ECO:0000250|UniProtKB:O08587}. Note=Localizes to the nucleoplasmic fibrils of the nuclear pore complex. Dissociates from the NPC structure early during prophase of mitosis. Associates with the newly formed nuclear membrane during telophase. In the testis, the localization changes during germ cell differentiation from the nuclear surface in spermatocytes to the whole nucleus (interior) in spermatids and back to the nuclear surface in spermatozoa. {ECO:0000250|UniProtKB:O08587, ECO:0000250|UniProtKB:Q9UKX7}.",INM_niedostepny
Prickle1,otoczka,True,True,False,True,nazwa,Prickle1,15940,95.83,2.183,2.102,2.49,-0.243,,,,,2.178,1.836,1.939,1.913,2.133,2.142,2.571,2.754,2.225,93.89,93.33,95.44,95.34,94.68,95.03,96.32,97.15,96.91,"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Note=A smaller amount is detected in the cytosol. {ECO:0000250}.","SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Note=A smaller amount is detected in the cytosol. {ECO:0000250}.",NIEOKRESLONY
Aaas,otoczka,True,True,False,True,nazwa,Aaas,8377,50.36,0.311,0.327,0.241,0.425,Aldoc_3,0.526,6.534472144708429e-53,15.59,0.502,0.235,0.399,0.374,0.296,0.252,0.231,0.208,0.274,59.49,48.0,62.62,58.49,46.92,45.44,34.19,34.38,48.74,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q9NRG9}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q9NRG9}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NRG9}. Note=In metaphase cells localizes within the spindle with some accumulation around spindle poles, with the highest concentration between the centrosome and metaphase plate. The localization to the ","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q9NRG9}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q9NRG9}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NRG9}. Note=In metaphase cells localizes within the spindle with some accumulation around spindle poles, with the highest concentration between the centrosome and metaphase plate. The localization to the spindle is microtubule-mediated. {ECO:0000250|UniProtKB:Q9NRG9}.",POR_niepewny
Dnase1,otoczka,True,True,False,True,nazwa,Dnase1,34,0.2,0.001,0.001,0.0,0.138,,,,,0.001,0.0,0.0,0.001,0.001,0.003,0.002,0.0,0.001,0.16,0.0,0.14,0.17,0.18,0.45,0.55,0.05,0.24,"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P24855}. Zymogen granule {ECO:0000250|UniProtKB:P24855}. Nucleus envelope {ECO:0000250|UniProtKB:P24855}. Note=Secretory protein, stored in zymogen granules and found in the nuclear envelope. {ECO:0000250|UniProtKB:P24855}.","SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P24855}. Zymogen granule {ECO:0000250|UniProtKB:P24855}. Nucleus envelope {ECO:0000250|UniProtKB:P24855}. Note=Secretory protein, stored in zymogen granules and found in the nuclear envelope. {ECO:0000250|UniProtKB:P24855}.",NIEOKRESLONY
Rogdi,otoczka,True,True,False,True,nazwa,Rogdi,7153,43.0,0.238,0.218,0.261,-0.249,,,,,0.19,0.223,0.229,0.224,0.237,0.21,0.212,0.256,0.266,31.67,49.33,44.39,43.9,40.97,40.09,32.17,39.01,48.62,"SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000250|UniProtKB:Q9GZN7}. Presynapse {ECO:0000250|UniProtKB:Q4V7D2}. Cell projection, axon {ECO:0000250|UniProtKB:Q4V7D2}. Perikaryon {ECO:0000250|UniProtKB:Q4V7D2}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q4V7D2}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle {ECO:0000250|UniProtKB:Q4V7D2}. Cytoplasm {ECO:0000269|PubMed:40049412}. L","SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000250|UniProtKB:Q9GZN7}. Presynapse {ECO:0000250|UniProtKB:Q4V7D2}. Cell projection, axon {ECO:0000250|UniProtKB:Q4V7D2}. Perikaryon {ECO:0000250|UniProtKB:Q4V7D2}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q4V7D2}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle {ECO:0000250|UniProtKB:Q4V7D2}. Cytoplasm {ECO:0000269|PubMed:40049412}. Lysosome {ECO:0000269|PubMed:40049412}. Note=Detected primarily at presynaptic sites on axons, and to a lesser degree in soma and dendrites. Not detected at post-synaptic sites. {ECO:0000250|UniProtKB:Q4V7D2}.",NIEOKRESLONY
P2rx6,otoczka,True,True,False,True,nazwa,P2rx6,44,0.26,0.001,0.001,0.001,0.0,,,,,0.0,0.0,0.001,0.002,0.001,0.001,0.005,0.001,0.001,0.0,0.0,0.2,0.39,0.36,0.25,0.55,0.19,0.27,SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O15547}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P51579}. Nucleus {ECO:0000269|PubMed:25874565}. Nucleus inner membrane {ECO:0000269|PubMed:25874565}; Multi-pass membrane protein {ECO:0000255}. Note=Monomers remain anchored to the endoplasmic reticulum (ER) membrane by the hydrophobic N-termi,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O15547}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P51579}. Nucleus {ECO:0000269|PubMed:25874565}. Nucleus inner membrane {ECO:0000269|PubMed:25874565}; Multi-pass membrane protein {ECO:0000255}. Note=Monomers remain anchored to the endoplasmic reticulum (ER) membrane by the hydrophobic N-terminal end. The retention of P2RX6 subunit in the ER allows it to reach the nucleus. Heteromerization of P2RX6 subunits with either P2RX2 or P2RX4 subunits guides the P2RX6 subunit to the plasma membrane. In neurons, mainly expressed in the cell body of the hippocampal neurons. {ECO:0000250|UniProtKB:P51579}.",INM_niedostepny
Smpd4,otoczka,True,True,False,True,nazwa,Smpd4,6888,41.41,0.224,0.22,0.238,-0.109,,,,,0.163,0.258,0.186,0.247,0.208,0.27,0.211,0.229,0.247,29.1,52.0,38.97,44.4,37.89,48.95,34.38,36.99,46.06,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:25180167}; Single-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9NXE4}; Single-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000269|PubMed:31142202}. Cell membrane, sarcolemma {ECO:0000269|PubMed:25180167}.","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:25180167}; Single-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9NXE4}; Single-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000269|PubMed:31142202}. Cell membrane, sarcolemma {ECO:0000269|PubMed:25180167}.",NIEOKRESLONY
Senp2,otoczka,True,True,False,True,nazwa,Senp2,14597,87.75,1.041,0.988,1.043,-0.077,,,,,0.932,0.83,1.036,0.987,1.153,0.989,0.99,1.024,1.062,82.8,92.0,89.68,88.4,88.34,86.49,82.54,82.67,89.87,"SUBCELLULAR LOCATION: [Isoform 1]: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q9HC62}. Nucleus membrane {ECO:0000250|UniProtKB:Q9HC62}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9HC62}; Nucleoplasmic side {ECO:0000250|UniProtKB:Q9HC62}. Note=Shuttles between cytoplasm and nucleus. {ECO:0000250|UniProtKB:Q9HC62}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:","SUBCELLULAR LOCATION: [Isoform 1]: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q9HC62}. Nucleus membrane {ECO:0000250|UniProtKB:Q9HC62}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9HC62}; Nucleoplasmic side {ECO:0000250|UniProtKB:Q9HC62}. Note=Shuttles between cytoplasm and nucleus. {ECO:0000250|UniProtKB:Q9HC62}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:11489887}. Cytoplasmic vesicle {ECO:0000269|PubMed:11489887}. Note=Found in the cytoplasm and in cytoplasmic vesicles, together with axin. {ECO:0000269|PubMed:11489887}.; SUBCELLULAR LOCATION: [Isoform 3]: Nucleus, PML body {ECO:0000269|PubMed:12419228}.",INM_niedostepny
Pla1a,otoczka,True,True,False,True,synonim,Lypla1,151,0.91,0.004,0.004,0.003,0.107,,,,,0.004,0.005,0.004,0.003,0.003,0.005,0.003,0.002,0.004,0.96,2.67,1.17,0.61,0.71,1.02,0.55,0.53,1.06,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O75608}. Cell membrane {ECO:0000250|UniProtKB:O75608}. Nucleus membrane {ECO:0000250|UniProtKB:O75608}. Endoplasmic reticulum {ECO:0000250|UniProtKB:O75608}. Note=Shows predominantly a cytoplasmic localization with a weak expression in the cell membrane, nuclear membrane and endoplasmic reticulum. {ECO:0000250|UniProtKB:O75608}.","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O75608}. Cell membrane {ECO:0000250|UniProtKB:O75608}. Nucleus membrane {ECO:0000250|UniProtKB:O75608}. Endoplasmic reticulum {ECO:0000250|UniProtKB:O75608}. Note=Shows predominantly a cytoplasmic localization with a weak expression in the cell membrane, nuclear membrane and endoplasmic reticulum. {ECO:0000250|UniProtKB:O75608}.",NIEOKRESLONY
Itsn1,otoczka,True,True,False,True,nazwa,Itsn1,13427,80.72,0.765,0.796,0.825,-0.051,,,,,0.776,0.946,0.688,0.741,0.779,0.736,0.904,0.889,0.761,78.14,90.67,80.4,80.24,79.0,82.09,77.02,79.91,82.71,"SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:16914641}. Synapse, synaptosome {ECO:0000250|UniProtKB:Q9WVE9}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q15811}. Cell membrane {ECO:0000250|UniProtKB:Q15811}. Membrane, clathrin-coated pit {ECO:0000250|UniProtKB:Q15811}. Recycling endosome {ECO:0000250|UniProtKB:Q15811}. Endosome {ECO:0000269|PubMed:16914641}. Cytoplasmic ","SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:16914641}. Synapse, synaptosome {ECO:0000250|UniProtKB:Q9WVE9}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q15811}. Cell membrane {ECO:0000250|UniProtKB:Q15811}. Membrane, clathrin-coated pit {ECO:0000250|UniProtKB:Q15811}. Recycling endosome {ECO:0000250|UniProtKB:Q15811}. Endosome {ECO:0000269|PubMed:16914641}. Cytoplasmic vesicle {ECO:0000269|PubMed:16914641, ECO:0000269|PubMed:23633571}. Note=Colocalizes with SGIP1 at the plasma membrane in structures corresponding most probably to clathrin-coated pits. Colocalizes with RAB13 on cytoplasmic vesicles that are most likely recycling endosomes. {ECO:0000250|UniProtKB:Q15811}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000250|UniProtKB:Q15811}. Nucleus envelope {ECO:0000250|UniProtKB:Q15811}. Note=Shuttles between the cytoplasm and nucleus in an XPO1/CRM1-dependent manner. {ECO:0000250|UniProtKB:Q15811}.",NIEOKRESLONY
Slc22a3,otoczka,True,True,False,True,nazwa,Slc22a3,435,2.62,0.01,0.01,0.008,0.152,,,,,0.008,0.011,0.009,0.008,0.012,0.011,0.01,0.008,0.009,2.09,4.0,2.63,2.44,3.08,3.25,1.65,2.03,2.66,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27659446}; Multi-pass membrane protein {ECO:0000305}. Apical cell membrane {ECO:0000250|UniProtKB:O75751}; Multi-pass membrane protein {ECO:0000305}. Basolateral cell membrane {ECO:0000250|UniProtKB:O75751}; Multi-pass membrane protein {ECO:0000305}. Mitochondrion membrane {ECO:0000269|PubMed:27659446}. Endomembrane system {ECO:0000269|PubMed,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27659446}; Multi-pass membrane protein {ECO:0000305}. Apical cell membrane {ECO:0000250|UniProtKB:O75751}; Multi-pass membrane protein {ECO:0000305}. Basolateral cell membrane {ECO:0000250|UniProtKB:O75751}; Multi-pass membrane protein {ECO:0000305}. Mitochondrion membrane {ECO:0000269|PubMed:27659446}. Endomembrane system {ECO:0000269|PubMed:27659446}. Nucleus membrane {ECO:0000305|PubMed:27659446}. Nucleus outer membrane {ECO:0000250|UniProtKB:O88446}. Note=Located to neuronal and glial endomembranes, including mitochondrial and nuclear membranes. {ECO:0000269|PubMed:27659446}.",ONM_dostepny
Lemd2,otoczka,True,True,False,True,nazwa,Lemd2,6311,37.94,0.199,0.232,0.182,0.334,,,,,0.202,0.366,0.207,0.21,0.205,0.194,0.238,0.176,0.187,33.28,50.67,41.52,41.07,37.22,39.96,35.48,30.18,37.79,"SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:16339967, ECO:0000269|PubMed:17062158}; Multi-pass membrane protein {ECO:0000269|PubMed:16339967}. Nucleus envelope {ECO:0000269|PubMed:36377660}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q8NC56}. Note=Lamina-associated protein residing in the inner nuclear membrane (INM) of the nuclear envelope (NE) (PubMed:16339967).","SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:16339967, ECO:0000269|PubMed:17062158}; Multi-pass membrane protein {ECO:0000269|PubMed:16339967}. Nucleus envelope {ECO:0000269|PubMed:36377660}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q8NC56}. Note=Lamina-associated protein residing in the inner nuclear membrane (INM) of the nuclear envelope (NE) (PubMed:16339967). The localization to the INM is dependent on LMNA (By similarity). Evenly distributed around the NE during interphase (PubMed:16339967). During metaphase, found in a reticular network (By similarity). Recruited to the reforming NE on chromatin disks in early anaphase (By similarity). In late anaphase, concentrates at the NE core proximal to spindle microtubules, and then broadening to a distributed nuclear rim pattern (By similarity). {ECO:0000250|UniProtKB:Q8NC56, ECO:0000269|PubMed:16339967}.",INM_niedostepny
